username,message,timestamp,is_read
procure_user,New proposal from BC.,2025-08-07 14:35:06,False
procure_user,New proposal from ABC.,2025-08-07 14:36:45,False
procure_user,New proposal from DEF.,2025-08-07 14:37:52,False
procure_user,New proposal from ghi.,2025-08-07 14:38:58,False
procure_user,New proposal from JKL.,2025-08-07 14:39:52,False
ghi,ACTION: Please submit certificates for your 'OPC 53 Grade Cement (per bag)' proposal.,2025-08-07 19:14:01,False
def,ACTION: Please submit certificates for your 'OPC 53 Grade Cement (per bag)' proposal.,2025-08-07 19:14:19,False
abc,ACTION: Please submit certificates for your 'OPC 53 Grade Cement (per bag)' proposal.,2025-08-07 19:18:19,False
procure_user,Certificates submitted for 'OPC 53 Grade Cement (per bag)' from ABC.,2025-08-07 19:19:13,False
abc,Your proposal for 'OPC 53 Grade Cement (per bag)' has been ACCEPTED.,2025-08-07 19:19:51,False
site_user,Approved: 'OPC 53 Grade Cement (per bag)' from ABC.,2025-08-07 19:19:51,False
procure_user,DISPATCHED: 'OPC 53 Grade Cement (per bag)' from ABC.,2025-08-07 19:27:41,False
site_user,DELIVERY: 'OPC 53 Grade Cement (per bag)' from ABC scheduled for 2025-08-07 09:00.,2025-08-07 19:27:41,False
abc,Delivery of 'OPC 53 Grade Cement (per bag)' was received.,2025-08-07 19:30:24,False
procure_user,DELIVERED: 'OPC 53 Grade Cement (per bag)' from ABC.,2025-08-07 19:30:24,False
procure_user,New proposal from abc.,2025-08-07 21:24:06,False
jkl,ACTION: Please submit certificates for your 'OPC 53 Grade Cement (per bag)' proposal.,2025-08-07 21:49:39,False
abc,ACTION: Please submit certificates for your 'OPC 53 Grade Cement (per bag)' proposal.,2025-08-07 21:51:26,False
procure_user,New document 'Company Profile' submitted by abc.,2025-08-07 21:52:20,False
procure_user,New document 'Company Profile' submitted by abc.,2025-08-07 22:06:08,False
procure_user,New document 'Company Profile' submitted by abc.,2025-08-07 22:06:21,False
procure_user,New document 'Company Registration Certificate' submitted by abc.,2025-08-07 22:06:28,False
procure_user,New document 'Certificate of Incorporation' submitted by abc.,2025-08-07 22:06:33,False
procure_user,New document 'Copy of organization chart' submitted by abc.,2025-08-07 22:06:38,False
procure_user,New document 'Audited annual account (last 3 years)' submitted by abc.,2025-08-07 22:06:43,False
procure_user,New document 'Performance feedback certificate (from 2 customers)' submitted by abc.,2025-08-07 22:06:49,False
procure_user,New proposal from abc.,2025-08-07 22:23:03,False
procure_user,Certificates submitted for 'OPC 53 Grade Cement (per bag)' from abc.,2025-08-07 22:23:16,False
abc,ACTION: Please submit certificates for your 'OPC 53 Grade Cement (per bag)' proposal.,2025-08-07 22:23:44,False
procure_user,New vendor 'qrs' has registered and submitted documents for verification.,2025-08-07 22:29:38,False
procure_user,New vendor 'adc' has registered.,2025-08-09 20:50:35,False
procure_user,New vendor 'BC' has registered.,2025-08-09 21:20:20,False
procure_user,New document 'GST Registration Certificate' submitted by BC.,2025-08-09 21:20:41,False
procure_user,New document 'PAN Card Copy' submitted by BC.,2025-08-09 21:20:46,False
procure_user,New proposal from BC.,2025-08-09 21:31:16,False
BC,Your proposal for 'OPC 43 Grade cement' is accepted! Please email material certificates for final approval.,2025-08-09 21:31:54,False
site_user,Approved: 'OPC 43 Grade cement' from BC.,2025-08-09 21:31:54,False
procure_user,New proposal from bc.,2025-08-09 21:42:17,False
BC,Your proposal for 'OPC 43 Grade cement' is accepted! Please email material certificates for final approval.,2025-08-09 21:42:35,False
site_user,Approved: 'OPC 43 Grade cement' from bc.,2025-08-09 21:42:35,False
procure_user,New proposal from abc.,2025-08-09 21:53:50,False
abc,Your proposal for 'cement opc 43' is provisionally accepted! Please email material certificates for final approval.,2025-08-09 21:54:17,False
site_user,Approved (pending certificates): 'cement opc 43' from abc.,2025-08-09 21:54:17,False
procure_user,Certificates have been submitted via email for 'OPC 53 Grade Cement (per bag)' from abc.,2025-08-09 21:54:53,False
abc,Your document 'Company Profile' has been verified.,2025-08-09 21:58:49,False
abc,Your proposal for 'OPC 53 Grade Cement (per bag)' has been ACCEPTED.,2025-08-09 21:59:37,False
site_user,Approved: 'OPC 53 Grade Cement (per bag)' from abc.,2025-08-09 21:59:37,False
procure_user,New vendor 'xxx' has registered.,2025-08-09 22:00:18,False
procure_user,New proposal from xxx.,2025-08-09 22:00:58,False
xxx,ACTION: Your proposal for 'TMT Rods' is provisionally accepted. Please email certificates to procurement@company.com.,2025-08-09 22:02:01,False
procure_user,Certificates have been submitted via email for 'TMT Rods' from xxx.,2025-08-09 22:02:19,False
abc,Your proposal for 'OPC 53 Grade Cement (per bag)' has been ACCEPTED.,2025-08-09 22:02:27,False
site_user,Approved: 'OPC 53 Grade Cement (per bag)' from abc.,2025-08-09 22:02:27,False
xxx,Your proposal for 'TMT Rods' has been ACCEPTED.,2025-08-09 22:02:30,False
site_user,Approved: 'TMT Rods' from xxx.,2025-08-09 22:02:30,False
procure_user,DISPATCHED: 'TMT Rods' from xxx.,2025-08-09 22:09:17,False
site_user,DELIVERY: 'TMT Rods' from xxx scheduled for 2025-08-09 09:00.,2025-08-09 22:09:17,False
xxx,Delivery of 'TMT Rods' was received.,2025-08-09 22:09:52,False
procure_user,DELIVERED: 'TMT Rods' from xxx.,2025-08-09 22:09:52,False
procure_user,REVIEW: A 4-star review for 'OPC 53 Grade Cement (per bag)' from ABC.,2025-08-09 22:22:31,False
